iter	Passed	Remaining
0	1	176
1	3	155
2	4	145
3	5	141
4	7	138
5	9	141
6	10	139
7	12	140
8	13	136
9	14	132
10	15	129
11	17	127
12	18	124
13	20	123
14	21	121
15	22	120
16	24	119
17	25	117
18	27	115
19	28	115
20	30	114
21	31	113
22	33	112
23	35	111
24	36	110
25	38	108
26	39	106
27	41	105
28	42	103
29	43	102
30	45	100
31	46	98
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	88
39	57	86
40	59	85
41	59	82
42	60	80
43	62	79
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	71	68
51	72	66
52	73	65
53	74	63
54	75	62
55	77	60
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	86	52
62	87	51
63	88	49
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	116	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	130	11
92	131	9
93	133	8
94	134	7
95	136	5
96	138	4
97	139	2
98	141	1
99	143	0
